name,url,rating,type,grade,pitches,length,latitude,longitude,votes,state,gorge,area,crag,subcrag,yds,protection
Aimee's Jugs,https://www.mountainproject.com/route/107393389/aimees-jugs,2.7,Sport,5.6,1,70.0,38.2338,-80.8552,72,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,6.0,
Jay's Corner,https://www.mountainproject.com/route/108413680/jays-corner,1.5,Trad,5.6,1,70.0,38.2338,-80.8552,4,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,6.0,
Bongo,https://www.mountainproject.com/route/107384080/bongo,2.7,Sport,5.7,1,70.0,38.2338,-80.8552,90,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,7.0,
East Meck Shoot Out,https://www.mountainproject.com/route/113745632/east-meck-shoot-out,2.0,Trad,5.7,1,50.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,7.0,
Unnamed crack,https://www.mountainproject.com/route/108400883/unnamed-crack,2.0,Trad,5.7,1,50.0,38.2338,-80.8552,11,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,7.0,
Wendy's Jugs,https://www.mountainproject.com/route/107554557/wendys-jugs,3.1,Sport,5.7,1,40.0,38.2338,-80.8552,100,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,7.0,
Cowboy in the Dirt,https://www.mountainproject.com/route/107384091/cowboy-in-the-dirt,2.7,Sport,5.8,1,70.0,38.2338,-80.8552,91,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,8.0,
Holy Mackerel,https://www.mountainproject.com/route/107865519/holy-mackerel,2.9,Trad,5.8,1,50.0,38.2338,-80.8552,26,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,8.0,
Java,https://www.mountainproject.com/route/108385883/java,2.5,Trad,5.9,1,80.0,38.2338,-80.8552,2,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
28 Weeks Later,https://www.mountainproject.com/route/113748075/28-weeks-later,2.0,Sport,5.9,1,65.0,38.2338,-80.8552,8,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
Straight Outta Lockmont,https://www.mountainproject.com/route/107829637/straight-outta-lockmont,2.9,Sport,5.9,1,70.0,38.2338,-80.8552,46,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
