Route,Location,URL,Avg Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes
Aimee's Jugs,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107393389/aimees-jugs,2.7,Sport,5.6,1,70.0,38.2338,-80.8552,72
Jay's Corner,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108413680/jays-corner,1.5,Trad,5.6,1,70.0,38.2338,-80.8552,4
Bongo,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107384080/bongo,2.7,Sport,5.7,1,70.0,38.2338,-80.8552,90
East Meck Shoot Out,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/113745632/east-meck-shoot-out,2.0,Trad,5.7,1,50.0,38.2338,-80.8552,1
Unnamed crack,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108400883/unnamed-crack,2.0,Trad,5.7,1,50.0,38.2338,-80.8552,11
Wendy's Jugs,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107554557/wendys-jugs,3.1,Sport,5.7,1,40.0,38.2338,-80.8552,100
Cowboy in the Dirt,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107384091/cowboy-in-the-dirt,2.7,Sport,5.8,1,70.0,38.2338,-80.8552,91
Holy Mackerel,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107865519/holy-mackerel,2.9,Trad,5.8,1,50.0,38.2338,-80.8552,26
Java,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108385883/java,2.5,Trad,5.9,1,80.0,38.2338,-80.8552,2
28 Weeks Later,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/113748075/28-weeks-later,2.0,Sport,5.9,1,65.0,38.2338,-80.8552,8
Straight Outta Lockmont,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107829637/straight-outta-lockmont,2.9,Sport,5.9,1,70.0,38.2338,-80.8552,46
Where have All the Gay Cowboys Gone?,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112319177/where-have-all-the-gay-cowboys-gone,2.0,Trad,5.9,1,60.0,38.2338,-80.8552,1
Whinerlamer,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107094737/whinerlamer,2.4,Sport,5.9,1,40.0,38.2338,-80.8552,37
Gimme a Clown,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106736089/gimme-a-clown,2.8,Sport,5.9,1,70.0,38.2338,-80.8552,88
Unknown,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/116252140/unknown,3.0,Trad,5.9,1,70.0,38.2338,-80.8552,1
Flight of the Kiwi,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112319223/flight-of-the-kiwi,2.0,Trad,5.9,1,50.0,38.2338,-80.8552,1
"Ching, Chang, Chong",Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108381188/ching-chang-chong,2.1,Sport,5.9+,1,40.0,38.2338,-80.8552,36
Jowiki,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107094784/jowiki,2.2,Sport,5.10a,1,30.0,38.2338,-80.8552,27
Charlotte Corner,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108404483/charlotte-corner,3.0,Trad,5.10a,1,,38.2338,-80.8552,1
Crescent Corner,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108404492/crescent-corner,2.8,Trad,5.10a,1,,38.2338,-80.8552,6
Johnny Bravo,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108468844/johnny-bravo,3.3,Trad,5.10a,1,50.0,38.2338,-80.8552,10
After Forever,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/113747879/after-forever,1.9,Sport,5.10a,1,45.0,38.2338,-80.8552,9
Unholy Mackerel,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107865528/unholy-mackerel,2.3,"Trad, TR",5.10a R,1,50.0,38.2338,-80.8552,3
Mythos,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112778174/mythos,2.0,Trad,5.10-,1,45.0,38.2338,-80.8552,2
Latch Key Kids,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107540073/latch-key-kids,3.3,Sport,5.10a/b,1,70.0,38.2338,-80.8552,81
