Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Aimee's Jugs","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107393389/aimees-jugs,2.7,-1,Sport,5.6,1,70,38.2338,-80.8552
"Jay's Corner","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108413680/jays-corner,1.5,-1,Trad,5.6,1,70,38.2338,-80.8552
Bongo,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107384080/bongo,2.7,-1,Sport,5.7,1,70,38.2338,-80.8552
"East Meck Shoot Out","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113745632/east-meck-shoot-out,2.0,-1,Trad,5.7,1,50,38.2338,-80.8552
"Unnamed crack","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108400883/unnamed-crack,2.0,-1,Trad,5.7,1,50,38.2338,-80.8552
"Wendy's Jugs","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107554557/wendys-jugs,3.1,-1,Sport,5.7,1,40,38.2338,-80.8552
"Cowboy in the Dirt","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107384091/cowboy-in-the-dirt,2.7,-1,Sport,5.8,1,70,38.2338,-80.8552
"Holy Mackerel","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107865519/holy-mackerel,2.9,-1,Trad,5.8,1,50,38.2338,-80.8552
Java,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108385883/java,2.5,-1,Trad,5.9,1,80,38.2338,-80.8552
"28 Weeks Later","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113748075/28-weeks-later,2.0,-1,Sport,5.9,1,65,38.2338,-80.8552
"Straight Outta Lockmont","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107829637/straight-outta-lockmont,2.9,-1,Sport,5.9,1,70,38.2338,-80.8552
"Where have All the Gay Cowboys Gone?","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112319177/where-have-all-the-gay-cowboys-gone,2.0,-1,Trad,5.9,1,60,38.2338,-80.8552
Whinerlamer,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107094737/whinerlamer,2.4,-1,Sport,5.9,1,40,38.2338,-80.8552
"Gimme a Clown","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106736089/gimme-a-clown,2.8,-1,Sport,5.9,1,70,38.2338,-80.8552
Unknown,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116252140/unknown,3.0,-1,Trad,5.9,1,70,38.2338,-80.8552
"Flight of the Kiwi","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112319223/flight-of-the-kiwi,2.0,-1,Trad,5.9,1,50,38.2338,-80.8552
"Ching, Chang, Chong","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108381188/ching-chang-chong,2.1,-1,Sport,5.9+,1,40,38.2338,-80.8552
Jowiki,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107094784/jowiki,2.2,-1,Sport,5.10a,1,30,38.2338,-80.8552
"Charlotte Corner","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108404483/charlotte-corner,3.0,-1,Trad,5.10a,1,,38.2338,-80.8552
"Crescent Corner","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108404492/crescent-corner,2.8,-1,Trad,5.10a,1,,38.2338,-80.8552
"Johnny Bravo","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108468844/johnny-bravo,3.3,-1,Trad,5.10a,1,50,38.2338,-80.8552
"After Forever","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113747879/after-forever,1.9,-1,Sport,5.10a,1,45,38.2338,-80.8552
"Unholy Mackerel","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107865528/unholy-mackerel,2.3,-1,"Trad, TR","5.10a R",1,50,38.2338,-80.8552
Mythos,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112778174/mythos,2.0,-1,Trad,5.10-,1,45,38.2338,-80.8552
"Latch Key Kids","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107540073/latch-key-kids,3.3,-1,Sport,5.10a/b,1,70,38.2338,-80.8552
"Cowboy Love","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112319293/cowboy-love,2.0,-1,Trad,5.10b,1,70,38.2338,-80.8552
Blimey,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109829479/blimey,2.3,-1,Sport,5.10b,1,60,38.2338,-80.8552
"Six Gun Serenade","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112319230/six-gun-serenade,2.0,-1,Trad,5.10c,1,70,38.2338,-80.8552
"Back to the Known","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107899980/back-to-the-known,2.0,-1,Sport,5.10+,1,90,38.2338,-80.8552
"Hat Change","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106386798/hat-change,2.2,-1,Sport,5.10d,1,60,38.2338,-80.8552
Masuko,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106736128/masuko,3.8,-1,Sport,5.11a,1,70,38.2338,-80.8552
Nonameyet,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106946198/nonameyet,2.6,-1,Sport,5.11a,1,60,38.2338,-80.8552
Flounder,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107829690/flounder,3.0,-1,Sport,5.11a,1,50,38.2338,-80.8552
"How Could Hell Be Any Worse?","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108836852/how-could-hell-be-any-worse,3.0,-1,Sport,5.11a,1,90,38.2338,-80.8552
Pat-Agonia,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107094656/pat-agonia,2.3,-1,Sport,5.11b,1,40,38.2338,-80.8552
"Blaze Got a New Job","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106736061/blaze-got-a-new-job,2.7,-1,Sport,5.11b,1,40,38.2338,-80.8552
Pondless,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109829604/pondless,3.0,-1,Sport,5.11b,1,60,38.2338,-80.8552
Fishbone,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113813969/fishbone,2.0,-1,Sport,5.11c,1,70,38.2338,-80.8552
"Don Miron","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107377472/don-miron,2.6,-1,Sport,5.11d,1,70,38.2338,-80.8552
Bender,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106946283/bender,2.9,-1,Sport,5.11d,1,70,38.2338,-80.8552
"Tacos Pescados","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107895289/tacos-pescados,3.0,-1,Sport,5.11d,1,60,38.2338,-80.8552
Zinger,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108683945/zinger,2.0,-1,Trad,5.6,1,50,38.22643,-80.85637
"Star Crunch","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116139702/star-crunch,1.0,-1,Trad,5.7,1,50,38.22643,-80.85637
"Route with a Ranger","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112422966/route-with-a-ranger,2.0,-1,Trad,"5.8 PG13",1,50,38.22643,-80.85637
Mononucleosis,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108735299/mononucleosis,3.0,-1,Trad,5.8,1,80,38.22643,-80.85637
"Slingin' Yayo","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108765851/slingin-yayo,1.5,-1,Trad,5.8,1,80,38.22643,-80.85637
"Swiss Roll","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116139718/swiss-roll,1.0,-1,Trad,5.8,1,50,38.22643,-80.85637
Wendigo,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108765734/wendigo,3.0,-1,Trad,5.9,1,80,38.22643,-80.85637
"Flake and Bake","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108703954/flake-and-bake,3.0,-1,Trad,5.9,1,70,38.22643,-80.85637
"Hog Slaughter","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116720891/hog-slaughter,3.0,-1,Sport,5.9,1,80,38.22643,-80.85637
204,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108295188/204,3.5,-1,Sport,5.10a,1,65,38.22643,-80.85637
665,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108295007/665,3.0,-1,Sport,5.10a,1,65,38.22643,-80.85637
Crackatoa,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114139999/crackatoa,2.0,-1,Trad,5.10a,1,50,38.22643,-80.85637
"Blood Flower","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108703944/blood-flower,2.5,-1,Sport,5.10a,1,45,38.22643,-80.85637
"Honey Badger","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116720902/honey-badger,3.0,-1,Sport,5.10b,1,80,38.22643,-80.85637
Unknown,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116620539/unknown,2.0,-1,Sport,5.10b,1,50,38.22643,-80.85637
"Hillbilly Sex Farm","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106737560/hillbilly-sex-farm,2.0,-1,Sport,5.10d,1,60,38.22643,-80.85637
"Billy Bass Crack","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116720910/billy-bass-crack,3.0,-1,Trad,5.11a,1,80,38.22643,-80.85637
Honemeisters,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108703970/honemeisters,2.0,-1,Trad,5.11a,1,60,38.22643,-80.85637
"Opium of the People","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108745452/opium-of-the-people,2.5,-1,Sport,5.11a,1,50,38.22643,-80.85637
"Big Bang","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106737532/big-bang,3.3,-1,Trad,5.11b,1,70,38.22643,-80.85637
"Serial Driller","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108683933/serial-driller,2.5,-1,Sport,5.11b,1,50,38.22643,-80.85637
