Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Gift","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105917897/the-gift,3.9,-1,Sport,5.12a,1,70,37.8446,-83.6686
"Are the Pies Fresh?","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105917901/are-the-pies-fresh,3.0,-1,Sport,5.12a,2,70110,37.8446,-83.6686
Bloodline,"Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107667764/bloodline,3.6,-1,Trad,5.12-,1,90,37.8446,-83.6686
Gladuator,"Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195829/gladuator,3.0,-1,Sport,5.12b,1,35,37.8446,-83.6686
"The Approach","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110547559/the-approach,1.9,-1,Trad,"5.12+ R",1,2000,37.8446,-83.6686
"Sacred Geometry","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107667738/sacred-geometry,4.0,-1,Trad,"5.13 PG13",2,80,37.8446,-83.6686
"Straight Edge","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105885201/straight-edge,3.2,-1,Sport,5.12a,1,50,37.8588,-83.67163
"Welcome to ol' Kentuck","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106292346/welcome-to-ol-kentuck,4.0,-1,Trad,5.13a,1,50,37.8588,-83.67163
Pine,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106584364/pine,3.5,-1,Sport,5.12a,1,90,37.7334,-83.6591
"Home Is Where the Heart Is","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106961737/home-is-where-the-heart-is,3.0,-1,Trad,5.12a,1,50,37.7334,-83.6591
"Stay the Hand","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105880953/stay-the-hand,3.3,-1,Sport,5.12a,1,50,37.7334,-83.6591
"Ro Shampo","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860759/ro-shampo,3.7,-1,Sport,5.12a,1,60,37.7334,-83.6591
"Way Up Yonder","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106037239/way-up-yonder,3.1,-1,Sport,5.12a,2,100,37.7334,-83.6591
"Release the Kraken","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/115444031/release-the-kraken,3.3,-1,Sport,5.12-,1,95,37.7334,-83.6591
"Jersey Connection","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106045278/jersey-connection,3.3,-1,Sport,5.12b,1,50,37.7334,-83.6591
Tic-Tac-Toe,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106045283/tic-tac-toe,3.0,-1,Sport,5.12b,1,60,37.7334,-83.6591
"Strevels Gets in Shape","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106233733/strevels-gets-in-shape,3.4,-1,Sport,5.12b,1,90,37.7334,-83.6591
"Science Friction","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/116694605/science-friction,3.0,-1,Sport,5.12c,1,70,37.7334,-83.6591
"Wild Gift","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105945822/wild-gift,3.6,-1,Sport,5.12c,1,50,37.7334,-83.6591
"Stay the Hand (Direct Start)","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/116601062/stay-the-hand-direct-start,2.0,-1,Sport,5.12c,1,50,37.7334,-83.6591
"Wicked Games","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106062725/wicked-games,4.0,-1,Sport,5.12d,1,85,37.7334,-83.6591
Chunnel,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106727781/chunnel,3.0,-1,Sport,5.13a,1,50,37.7334,-83.6591
"The Bulge","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114322124/the-bulge,0.0,-1,Sport,5.12a,1,40,37.75195,-83.66364
"Deep Six","Global Village > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106309901/deep-six,3.9,-1,Sport,5.12b,1,110,37.75162,-83.65731
"Crouching Tiger","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107989289/crouching-tiger,3.0,-1,Trad,5.12-,1,50,37.86342,-83.67403
"Solar Flare","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110189042/solar-flare,4.0,-1,Trad,"5.12b PG13",2,115,37.86342,-83.67403
"Hidden Dragon","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107989299/hidden-dragon,4.0,-1,Trad,5.12c,1,50,37.86342,-83.67403
"Stranger Than Paradise","Blackburn Rock > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870787/stranger-than-paradise,3.0,-1,Trad,5.12c,1,30,37.87572,-83.70343
"Glory Be","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107857060/glory-be,3.4,-1,Sport,5.12a,1,80,37.8029,-83.5762
"Hardcore Jollies","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868713/hardcore-jollies,2.6,-1,Sport,5.12a,1,50,37.8029,-83.5762
"Frugal Chariot","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106599342/frugal-chariot,3.0,-1,Sport,"5.12a PG13",1,90,37.8029,-83.5762
"Go Easy Billy Clyde!","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106282988/go-easy-billy-clyde,3.3,-1,Sport,5.12a,1,75,37.8029,-83.5762
"Orange Juice","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106599268/orange-juice,3.9,-1,Sport,5.12c,1,90,37.8029,-83.5762
Seppuku,"Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106599306/seppuku,3.0,-1,Sport,"5.12d PG13",1,80,37.8029,-83.5762
"Appalachian Spring","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106599327/appalachian-spring,3.8,-1,Sport,5.13a,1,80,37.8029,-83.5762
"What's Right with the Underling","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108383761/whats-right-with-the-underling,3.0,-1,Sport,5.12a,1,90,37.81596,-83.58104
"Grunge Face","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108144688/grunge-face,0.5,-1,Sport,5.12a,1,70,37.81596,-83.58104
"The Learning Curve","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107621628/the-learning-curve,3.3,-1,Trad,5.12a,1,35,37.81596,-83.58104
"Soul Ram","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107389163/soul-ram,3.7,-1,Sport,5.12b,1,100,37.81596,-83.58104
"The Rifleman","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/111400357/the-rifleman,3.0,-1,Sport,5.12b/c,1,70,37.81596,-83.58104
"Silently Does the Sun Shine","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107667743/silently-does-the-sun-shine,4.0,-1,Trad,"5.14a PG13",1,110,37.81596,-83.58104
"Campfire Crank","Wall of Denial > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106282950/campfire-crank,3.0,-1,Sport,5.12a,1,45,37.82476,-83.54807
"Wild Yet Tasty","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105943552/wild-yet-tasty,3.1,-1,Sport,5.12a,1,55,37.81449,-83.66388
"Too Many Puppies","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105893624/too-many-puppies,3.6,-1,Sport,5.12a,1,60,37.81449,-83.66388
Infectious,"Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106169612/infectious,3.4,-1,Sport,5.12b,1,45,37.81449,-83.66388
"Sex Farm","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106146866/sex-farm,3.7,-1,Sport,5.12b,1,50,37.81449,-83.66388
"Mercy the Huff","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106045269/mercy-the-huff,3.9,-1,Sport,5.12b,1,80,37.81449,-83.66388
"Stunning the Hog","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106146849/stunning-the-hog,3.8,-1,Sport,5.12d,1,45,37.81449,-83.66388
"The Dinosaur","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106325136/the-dinosaur,3.7,-1,Sport,5.12d,1,70,37.81449,-83.66388
"Table of Colors","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106304964/table-of-colors,3.9,-1,Sport,5.13a,1,80,37.81449,-83.66388
"Table of Colors Direct","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107081591/table-of-colors-direct,4.0,-1,Sport,5.13b,1,60,37.81449,-83.66388
Nicorette,"Military Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106594004/nicorette,3.4,-1,Sport,5.12a,1,60,37.8159,-83.66918
"Nothing for Now","Military Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195890/nothing-for-now,1.7,-1,Sport,5.12a,1,70,37.8159,-83.66918
